COQUELUCHE - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de notificação
Período:2024
"Município de notificação";"Casos_confirmados"
"330380 PARATY";9
"330390 PETROPOLIS";71
"330395 PINHEIRAL";2
"330400 PIRAI";1
"330420 RESENDE";3
"330430 RIO BONITO";1
"330455 RIO DE JANEIRO";284
"330490 SAO GONCALO";26
"330520 SAO PEDRO DA ALDEIA";1
"330550 SAQUAREMA";1
"330555 SEROPEDICA";1
"330580 TERESOPOLIS";4
"330600 TRES RIOS";1
"330630 VOLTA REDONDA";20
"350030 AGUAI";1
"350060 AGUAS DE SAO PEDRO";3
"350100 ALTINOPOLIS";1
"350115 ALUMINIO";1
"350160 AMERICANA";6
"350280 ARACATUBA";4
"350320 ARARAQUARA";3
"350330 ARARAS";4
"350340 AREALVA";1
"350380 ARTUR NOGUEIRA";1
"350410 ATIBAIA";1
"350550 BARRETOS";13
"350570 BARUERI";25
"350600 BAURU";11
"350610 BEBEDOURO";1
"350740 BORBOREMA";1
"350750 BOTUCATU";12
"350760 BRAGANCA PAULISTA";6
"350850 CACAPAVA";1
"350900 CAIEIRAS";1
"350950 CAMPINAS";124
"350970 CAMPOS DO JORDAO";1
"351050 CARAGUATATUBA";1
"351110 CATANDUVA";3
"351220 CONCHAL";1
"351240 CORDEIROPOLIS";6
"351310 CRAVINHOS";1
"351370 DESCALVADO";4
"351440 DRACENA";3
"351460 DUMONT";1
"351470 ECHAPORA";4
"351500 EMBU DAS ARTES";1
"351518 ESPIRITO SANTO DO PINHAL";1
"351550 FERNANDOPOLIS";2
"351620 FRANCA";3
"351640 FRANCO DA ROCHA";1
"351670 GARCA";1
"351840 GUARATINGUETA";5
"351860 GUARIBA";1
"351870 GUARUJA";2
"351880 GUARULHOS";7
"351905 HOLAMBRA";3
"351907 HORTOLANDIA";4
"351950 IBIRAREMA";1
"352050 INDAIATUBA";5
"352110 IPEUNA";1
"352220 ITAPECERICA DA SERRA";3
"352270 ITAPOLIS";1
"352340 ITATIBA";4
"352390 ITU";1
"352430 JABOTICABAL";1
"352440 JACAREI";4
"352470 JAGUARIUNA";3
"352510 JARDINOPOLIS";4
"352590 JUNDIAI";1
"352630 LAGOINHA";1
"352650 LAVINIA";2
"352690 LIMEIRA";6
"352730 LOUVEIRA";2
"352850 MAIRIPORA";2
"352880 MARACAI";1
"352900 MARILIA";7
"352930 MATAO";1
"352940 MAUA";2
"353050 MOCOCA";1
"353060 MOGI DAS CRUZES";1
"353070 MOGI GUACU";8
"353080 MOGI MIRIM";2
"353180 MONTE MOR";1
"353340 NOVA ODESSA";2
"353430 ORLANDIA";1
"353440 OSASCO";4
"353650 PAULINIA";7
"353760 PERUIBE";3
"353800 PINDAMONHANGABA";1
"353870 PIRACICABA";20
"353880 PIRAJU";1
"353930 PIRASSUNUNGA";3
"354000 POMPEIA";6
"354070 PORTO FERREIRA";4
"354090 PRADOPOLIS";1
"354100 PRAIA GRANDE";2
"354140 PRESIDENTE PRUDENTE";2
"354330 RIBEIRAO PIRES";1
"354340 RIBEIRAO PRETO";82
"354390 RIO CLARO";1
"354480 SALES";1
"354520 SALTO";5
"354580 SANTA BARBARA D'OESTE";4
"354650 SANTA ERNESTINA";1
"354710 SANTA MERCEDES";1
"354730 SANTANA DE PARNAIBA";4
"354760 SANTA ROSA DE VITERBO";3
"354780 SANTO ANDRE";7
"354850 SANTOS";6
"354870 SAO BERNARDO DO CAMPO";11
"354880 SAO CAETANO DO SUL";11
"354890 SAO CARLOS";7
"354910 SAO JOAO DA BOA VISTA";17
"354940 SAO JOAQUIM DA BARRA";1
"354980 SAO JOSE DO RIO PRETO";7
"354990 SAO JOSE DOS CAMPOS";15
"355030 SAO PAULO";879
"355040 SAO PEDRO";1
"355070 SAO SEBASTIAO";1
"355100 SAO VICENTE";4
"355150 SERRANA";1
"355170 SERTAOZINHO";11
"355220 SOROCABA";82
"355240 SUMARE";6
"355280 TABOAO DA SERRA";1
"355400 TATUI";1
"355410 TAUBATE";5
"355510 TUPI PAULISTA";1
"355540 UBATUBA";1
"355620 VALINHOS";13
"355670 VINHEDO";5
"355700 VOTORANTIM";1
"410010 ABATIA";1
"410040 ALMIRANTE TAMANDARE";18
"410050 ALTONIA";4
"410060 ALTO PARANA";1
"410070 ALTO PIQUIRI";3
"410100 AMPERE";15
"410105 ANAHY";1
"410110 ANDIRA";1
"410140 APUCARANA";5
"410150 ARAPONGAS";6
"410160 ARAPOTI";1
"410180 ARAUCARIA";17
"410190 ASSAI";5
"410200 ASSIS CHATEAUBRIAND";1
"410230 BALSA NOVA";1
"410240 BANDEIRANTES";2
"410260 BARRACAO";2
"410280 BELA VISTA DO PARAISO";14
"410310 BOCAIUVA DO SUL";1
"410345 CAFELANDIA";5
"410350 CALIFORNIA";2
"410370 CAMBE";71
"410400 CAMPINA GRANDE DO SUL";14
"410420 CAMPO LARGO";76
"410425 CAMPO MAGRO";4
"410430 CAMPO MOURAO";3
"410465 CARAMBEI";3
"410480 CASCAVEL";98
"410490 CASTRO";48
"410530 CEU AZUL";5
"410570 CLEVELANDIA";2
"410580 COLOMBO";13
"410640 CORNELIO PROCOPIO";16
"410650 CORONEL VIVIDA";1
"410690 CURITIBA";522
"410700 CURIUVA";2
"410720 DOIS VIZINHOS";16
"410740 ENEAS MARQUES";5
"410760 FAXINAL";3
"410765 FAZENDA RIO GRANDE";13
"410820 FORMOSA DO OESTE";1
"410830 FOZ DO IGUACU";81
"410840 FRANCISCO BELTRAO";201
"410850 GENERAL CARNEIRO";1
"410880 GUAIRA";2
"410895 GUAMIRANGA";1
"410920 GUARACI";1
"410940 GUARAPUAVA";30
"410960 GUARATUBA";3
"410970 IBAITI";2
"410980 IBIPORA";19
"411007 IMBAU";9
"411010 IMBITUVA";1
"411020 INACIO MARTINS";8
"411070 IRATI";13
"411080 IRETAMA";2
"411095 ITAIPULANDIA";1
"411120 ITAPEJARA D'OESTE";2
"411140 IVAI";11
"411150 IVAIPORA";2
"411160 IVATUBA";1
"411200 JAGUARIAIVA";1
"411210 JANDAIA DO SUL";1
"411275 JESUITAS";2
"411320 LAPA";6
"411370 LONDRINA";352
"411390 MALLET";1
"411410 MANDAGUACU";6
"411435 MANFRINOPOLIS";2
"411460 MARECHAL CANDIDO RONDON";3
"411490 MARILANDIA DO SUL";1
"411520 MARINGA";108
"411540 MARMELEIRO";15
"411560 MATELANDIA";7
"411570 MATINHOS";2
"411580 MEDIANEIRA";45
"411585 MERCEDES";2
"411610 MOREIRA SALES";1
"411690 NOVA ESPERANCA";1
"411695 NOVA ESPERANCA DO SUDOESTE";2
"411721 NOVA SANTA BARBARA";3
"411730 ORTIGUEIRA";1
"411745 OURO VERDE DO OESTE";2
"411750 PAICANDU";1
"411770 PALMEIRA";1
"411790 PALOTINA";6
"411820 PARANAGUA";54
"411840 PARANAVAI";5
"411850 PATO BRANCO";7
"411915 PINHAIS";54
"411920 PINHALAO";1
"411925 PINHAL DE SAO BENTO";1
"411950 PIRAQUARA";30
"411960 PITANGA";10
"411965 PITANGUEIRAS";1
"411980 PLANALTO";1
"411990 PONTA GROSSA";227
"412033 PRADO FERREIRA";1
"412060 PRUDENTOPOLIS";8
"412080 QUATRO BARRAS";28
"412090 QUEDAS DO IGUACU";4
"412120 QUITANDINHA";7
"412140 REALEZA";2
"412150 REBOUCAS";4
"412160 RENASCENCA";6
"412170 RESERVA";1
"412200 RIO AZUL";5
"412220 RIO BRANCO DO SUL";8
"412240 ROLANDIA";16
"412270 SABAUDIA";2
"412300 SALTO DO LONTRA";1
"412380 SANTA IZABEL DO OESTE";1
"412402 SANTA TEREZA DO OESTE";3
"412405 SANTA TEREZINHA DE ITAIPU";2
"412440 SANTO ANTONIO DO SUDOESTE";1
"412470 SAO JERONIMO DA SERRA";1
"412520 SAO JORGE D'OESTE";7
"412530 SAO JORGE DO IVAI";5
"412535 SAO JORGE DO PATROCINIO";1
"412550 SAO JOSE DOS PINHAIS";49
"412570 SAO MIGUEL DO IGUACU";3
"412625 SARANDI";40
"412635 SERRANOPOLIS DO IGUACU";1
"412650 SERTANOPOLIS";1
"412667 TAMARANA";28
"412700 TEIXEIRA SOARES";1
"412710 TELEMACO BORBA";6
"412740 TERRA ROXA";1
"412760 TIJUCAS DO SUL";2
"412770 TOLEDO";92
"412780 TOMAZINA";2
"412785 TRES BARRAS DO PARANA";3
"412795 TUPASSI";2
"412796 TURVO";15
"412800 UBIRATA";1
"412810 UMUARAMA";2
"412820 UNIAO DA VITORIA";5
"412855 VERA CRUZ DO OESTE";2
"412860 VERE";1
"412870 VITORINO";2
"420130 ARAQUARI";8
"420140 ARARANGUA";1
"420180 ATALANTA";1
"420200 BALNEARIO CAMBORIU";41
"420210 BARRA VELHA";2
"420220 BENEDITO NOVO";1
"420240 BLUMENAU";28
"420245 BOMBINHAS";1
"420280 BRACO DO NORTE";14
"420290 BRUSQUE";7
"420300 CACADOR";2
"420320 CAMBORIU";2
"420380 CANOINHAS";2
"420420 CHAPECO";11
"420430 CONCORDIA";1
"420460 CRICIUMA";10
"420480 CURITIBANOS";3
"420540 FLORIANOPOLIS";58
"420545 FORQUILHINHA";1
"420620 GRAVATAL";2
"420630 GUABIRUBA";1
"420650 GUARAMIRIM";2
"420670 HERVAL D'OESTE";1
"420710 ILHOTA";1
"420730 IMBITUBA";2
"420790 IRINEOPOLIS";1
"420800 ITA";2
"420810 ITAIOPOLIS";6
"420820 ITAJAI";32
"420845 ITAPOA";1
"420880 JAGUARUNA";4
"420890 JARAGUA DO SUL";5
"420900 JOACABA";5
"420910 JOINVILLE";20
"420940 LAGUNA";2
"420980 LEOBERTO LEAL";1
"420990 LONTRAS";5
"421125 MORRO GRANDE";1
"421130 NAVEGANTES";2
"421170 ORLEANS";4
"421190 PALHOCA";2
"421230 PAULO LOPES";1
"421270 PETROLANDIA";1
"421280 BALNEARIO PICARRAS";2
"421290 PINHALZINHO";2
"421370 POUSO REDONDO";4
"421390 PRESIDENTE CASTELLO BRANCO";1
"421460 RIO DO OESTE";2
"421480 RIO DO SUL";9
"421545 SANGAO";2
"421550 SANTA CECILIA";1
"421560 SANTA ROSA DE LIMA";1
"421630 SAO JOAO BATISTA";3
"421660 SAO JOSE";3
"421720 SAO MIGUEL DO OESTE";2
"421750 SEARA";2
"421800 TIJUCAS";1
"421820 TIMBO";4
"421840 TREZE DE MAIO";2
"421870 TUBARAO";3
"421880 TURVO";1
"421950 XANXERE";1
"430040 ALEGRETE";1
"430060 ALVORADA";1
"430210 BENTO GONCALVES";1
"430300 CACHOEIRA DO SUL";5
"430310 CACHOEIRINHA";6
"430390 CAMPO BOM";3
"430440 CANELA";3
"430460 CANOAS";12
"430463 CAPAO DA CANOA";1
"430467 CAPIVARI DO SUL";1
"430480 CARLOS BARBOSA";1
"430510 CAXIAS DO SUL";3
"430535 CHARQUEADAS";2
"430544 CHUVISCA";1
"430610 CRUZ ALTA";4
"430640 DOIS IRMAOS";1
"430660 DOM PEDRITO";1
"430770 ESTEIO";3
"430790 FARROUPILHA";8
"430860 GARIBALDI";1
"430910 GRAMADO";23
"430920 GRAVATAI";1
"431033 IMBE";1
"431110 JAGUARI";1
"431140 LAJEADO";4
"431180 MARAU";1
"431240 MONTENEGRO";8
"431270 NONOAI";1
"431306 NOVA HARTZ";1
"431337 NOVA SANTA RITA";2
"431340 NOVO HAMBURGO";8
"431346 NOVO XINGU";1
"431390 PANAMBI";2
"431410 PASSO FUNDO";4
"431440 PELOTAS";1
"431490 PORTO ALEGRE";228
"431560 RIO GRANDE";1
"431600 ROLANTE";4
"431710 SANT'ANA DO LIVRAMENTO";6
"431755 SANTO ANTONIO DO PALMA";1
"431780 SANTO AUGUSTO";3
"431800 SAO BORJA";2
"431870 SAO LEOPOLDO";5
"431890 SAO LUIZ GONZAGA";1
"431973 SAO VALERIO DO SUL";1
"431990 SAPIRANGA";1
"432000 SAPUCAIA DO SUL";2
"432145 TEUTONIA";2
"432150 TORRES";2
"432160 TRAMANDAI";1
"432170 TRES COROAS";1
"432180 TRES DE MAIO";1
"432210 TUCUNDUVA";2
"432240 URUGUAIANA";1
"432300 VIAMAO";1
"432380 XANGRI-LA";1
"500260 CAMAPUA";1
"500270 CAMPO GRANDE";10
"500330 COXIM";2
"500370 DOURADOS";1
"500540 MARACAJU";1
"500568 MUNDO NOVO";1
"500570 NAVIRAI";2
"500620 NOVA ANDRADINA";1
"500660 PONTA PORA";1
"500740 RIO VERDE DE MATO GROSSO";1
"500790 SIDROLANDIA";1
"500840 VICENTINA";1
"510340 CUIABA";32
"510792 SORRISO";1
"510840 VARZEA GRANDE";1
"520025 AGUAS LINDAS DE GOIAS";4
"520110 ANAPOLIS";3
"520140 APARECIDA DE GOIANIA";2
"520410 CACHOEIRA ALTA";1
"520551 COCALZINHO DE GOIAS";2
"520800 FORMOSA";3
"520870 GOIANIA";37
"521250 LUZIANIA";3
"521523 NOVO GAMA";2
"521880 RIO VERDE";2
"521973 SANTO ANTONIO DE GOIAS";1
"530010 BRASILIA";271
"Total";7225
 Fonte: Ministério da Saúde/SVSA - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
  Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
  Para tabular dados epidemiológicos de um determinado ano selecione na linha a variável de interesse, na Coluna Ano dos 1ºs sintomas;
	em Períodos Disponíveis assinale o ano inicial da série e todos os posteriores até o ano atual (p/ incluir casos notificados com atraso)
	e em Seleções Disponíveis assinale os anos dos 1ºs sintomas (ex: nº de casos com início de sintomas 2007: selecione na linha UF de residência,
	na Coluna Ano de 1ºs sintomas, em Períodos disponíveis 2007 até o ano atual e em Seleções assinale Ano de 1ºs sintomas 2007).
  Para cálculo da incidência utilize locais de residência.
  Dados de 2007 a 2017 atualizados em 01/07/2019.
